Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"Kanathur Reddikuppam, Chennai",19900000.0,2583,7700.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramanathan Nagar, Pozhichalur,Chennai",22500000.0,7000,3210.0,6,Yes,10.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kasthuribai Nagar, West Tambaram,Chennai",10000000.0,1320,7580.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Naveenilaya,Chepauk, Triplicane,Chennai",33300000.0,4250,7840.0,5,Yes,7.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Avadi, Chennai",4800000.0,960,5000.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Siruseri, Chennai",4000000.0,940,4250.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",6000000.0,880,6820.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahindra World City, Chennai",7234999.999999999,1700,4250.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Brindavan Colony, West Tambaram,Chennai",4200000.0,840,5000.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"New Colony, Chromepet,Chennai",3000000.0,535,5610.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahindra World City, Chennai",2940000.0,581,5060.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Rose Avenue, Pallikaranai,Chennai",13000000.0,1444,9000.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramakrishna Puram, West Mambalam,Chennai",85000000.0,6000,14170.0,1,Yes,6.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",11500000.0,878,13100.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chimaera Apartments,Madambakkam, Chennai",4900000.0,944,5190.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Perungalathur, Chennai",5700000.0,1317,4330.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"ARUN EXCELLO ,Padappai, Chennai",2500000.0,820,3050.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Tirumurthy Nagar, Nungambakkam,Chennai",26000000.0,1658,15680.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Muttukadu, Chennai",29700000.000000004,4200,7070.0,5,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kolapakkam - Vandalur, Chennai",10800000.0,1566,6900.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"penta concept enclave,Thiruverkkadu, Chennai",10000000.0,2350,4250.0,4,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"MGR Nagar, Ayappakkam,Chennai",4000000.0,868,4610.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",8900000.0,926,9610.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",6300000.0,1090,5780.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Elim Nagar, Perungudi,Chennai",9000000.0,1307,6880.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Senganmal, Chennai",2500000.0,605,4130.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Vaishnavi Nagar, Thirumullaivoyal,Chennai",4950000.0,967,5120.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Live Green,Kattur, Chennai",2900000.0,586,4950.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Tiruvancheri, Selaiyur,Chennai",4500000.0,1038,4330.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sholinganallur, Chennai",7000000.0,1500,4670.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Semmanjeri, Semmancheri,Chennai",4600000.0,1133,4060.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Annamalai Colony, Saligramam,Chennai",8950000.0,1100,8140.000000000001,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Vn Nattrunai ,Thirumullaivoyal, Chennai",4500000.0,1024,4390.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Krishna Nagar, Sriperumbudur,Chennai",5400000.0,1508,3580.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ponmar, Chennai",8700000.0,1782,4880.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Swarnambigai Nagar, Virugambakkam,Chennai",25000000.0,2500,10000.0,4,Yes,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",7000000.0,900,7780.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Meenakshi Avenue, West Tambaram,Chennai",2600000.0,537,4840.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kottavakkam, Chennai",9000000.0,1292,6960.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Arjunamedu, Thiruverkkadu,Chennai",5400000.0,1096,4930.0,3,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Bharathi Nagar, Ayanavaram,Chennai",24000000.0,2300,10430.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",2900000.0,586,4950.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Arulmurugan Nagar, Old Pallavaram,Chennai",9000000.0,1112,8090.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Veppampattu, Chennai",2480000.0,560,4430.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Shankar Nagar, Pammal,Chennai",3700000.0,856,4320.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai",6500000.0,1079,6020.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",12000000.0,1100,10910.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Madambakkam, Chennai",5600000.0,1432,3910.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Urapakkam, Chennai",4500000.0,932,4830.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Madambakkam, Chennai",4500000.0,1500,3000.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Tambaram Mount, West Tambaram,Chennai",7500000.0,1200,6250.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Building velachery ,Anna Nagar Extension, Velachery,Chennai",3200000.0,590,5420.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Shri Vihar ,Sembakkam, Chennai",8500000.0,1570,5410.0,3,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Krishnaveni Nagar, Medavakkam,Chennai",3600000.0,808,4460.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",5000000.0,1582,3160.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"TNHB Colony, Villivakkam,Chennai",22500000.0,2400,9380.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",16000000.0,1350,11850.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kandasamy Nagar, Porur,Chennai",6500000.0,1400,4640.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Viswas Castle,Urapakkam, Chennai",3200000.0,950,3370.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Puzhal, Chennai",5500000.0,850,6470.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Venkateshwara Nagar, Ramapuram,Chennai",5400000.0,860,6280.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Velachery, Chennai",7900000.0,1300,6080.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramakrishna Nagar, Raja Annamalai Puram,Chennai",8500000.0,780,10900.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kallikuppam, Ambattur,Chennai",6700000.0,1100,6090.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"AGS Colony, Adambakkam,Chennai",9900000.0,1193,8300.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Lakshmipuram, Kolathur,Chennai",12000000.0,1350,8890.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Veera Vanchinathan Nagar, Perungudi,Chennai",7500000.0,1200,6250.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Akshaya,Periyar Nagar, Perambur,Chennai",6300000.0,946,6660.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thirumangalam, Anna Nagar West,Chennai",8800000.0,1065,8260.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mudichur, Chennai",2686000.0,580,4630.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramaniyam Gauravv ,Sholinganallur, Chennai",6490000.000000001,1160,5590.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Arasankazhani, Perumbakkam,Chennai",5800000.0,1055,5500.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Dharan Singh Colony, Vadapalani,Chennai",27500000.0,1940,14180.0,3,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padmanabha Nagar, Choolaimedu,Chennai",9000000.0,938,9590.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Maruthi Nagar, Sembakkam,Chennai",11500000.0,1712,6720.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padupakkam, Triplicane,Chennai",23900000.0,1328,18000.0,3,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Pennalur, Chennai",3000000.0,1085,2760.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Singaperumal Koil, Chennai",2728000.0,880,3100.0,3,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Oragadam Sriperambattur, Chennai",7000000.0,1450,4830.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kelambakkam, Chennai",2800000.0,462,6060.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai",9300000.0,900,10330.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Nesamani Nagar, Perumbakkam,Chennai",4500000.0,904,4980.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kumaran Nagar, Kilpauk,Chennai",6500000.0,940,6910.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Tirupathi Nagar, Valasaravakkam,Chennai",51300000.0,5400,9500.0,5,Yes,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ambattur, Chennai",4375000.0,795,5500.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Anthony Nagar, Kolathur,Chennai",6900000.0,990,6970.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thandalam, Chennai",4500000.0,630,7140.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thirumangalam, Anna Nagar West,Chennai",10000000.0,1100,9090.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Madambakkam, Chennai",2950000.0,598,4930.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Nerkundram, Mogappair,Chennai",7200000.0,918,7840.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ambattur, Chennai",37800000.0,3300,11450.0,1,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kamakshi Nagar, Anakaputhur,Chennai",1500000.0,490,3060.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Iyyappanthangal, Chennai",13000000.0,1791,7260.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Oragadam Sriperambattur, Chennai",1800000.0,500,3600.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Medavakkam, Chennai",7800000.0,1512,5160.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"BHARATHI ,Thirumullaivoyal, Chennai",4850000.0,967,5010.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ponmar, Chennai",7200000.0,1669,4310.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",3600000.0,1065,3380.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thirumangalam, Anna Nagar West,Chennai",30000000.0,2661,11270.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"K G Signature City,Panneer Nagar, Mogappair,Chennai",7200000.0,1000,7200.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chinnaiyan Colony, Perambur,Chennai",65000000.0,8000,8130.000000000001,1,Yes,10.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Annanur, Ayappakkam,Chennai",1700000.0,640,2660.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"L & T Colony Phase II, Virugambakkam,Chennai",5850000.0,960,6090.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Dwaraka flats,Bhavani Nagar, Ayappakkam,Chennai",5850000.0,1168,5010.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Surya Nagar, Kotturpuram,Chennai",23000000.0,1650,13940.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"ert  aprtment,Periyar Nagar, Chromepet,Chennai",4000000.0,763,5240.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Tiruvottiyur, Chennai",4500000.0,836,5380.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"ADWAITH SRINIVASAN FLAT,Nanganallur, Chennai",4040000.0,518,7800.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Vijaya Gardens, Valasaravakkam,Chennai",30000000.0,3500,8570.0,4,Yes,6.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramakrishna Puram, West Mambalam,Chennai",5600000.0,620,9030.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Parthasarathy Puram, T Nagar,Chennai",27500000.0,1495,18390.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mathangi Apartments,Samiyar Madam, Kodambakkam,Chennai",4500000.0,560,8039.999999999999,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mango Farm,Natesan Nagar, Madhavaram,Chennai",4500000.0,831,5420.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Srivatsam flats ,Sembiyan, Perambur,Chennai",5000000.0,853,5860.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Velachery, Chennai",6000000.0,994,6040.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Periyar Nagar, Tiruvottiyur,Chennai",11000000.0,1800,6110.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram,Chennai",4100000.0,547,7500.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mylapore, Chennai",4500000.0,730,6160.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"JB HOMES,Vishnu Nagar, West Tambaram,Chennai",3300000.0,920,3590.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Tirumalai Nagar, Koyambedu,Chennai",11500000.0,1400,8210.0,3,No,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Avadi, Chennai",3200000.0,667,4800.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ram Nagar, Madipakkam,Chennai",5450000.0,850,6410.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam,Chennai",4500000.0,951,4730.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Cheran Nagar, Perumbakkam,Chennai",7700000.0,1380,5580.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Moolakazhani, Chennai",3650000.0,690,5290.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Lakshmipuram, Kolathur,Chennai",6000000.0,982,6110.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Guduvancheri, Chennai",3650000.0,600,6080.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Iswaryam Flats,VOC Nagar, Pammal,Chennai",3000000.0,770,3900.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"TNHB Layout, Mathur,Chennai",3950000.0,840,4700.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",15300000.0,1340,11420.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Adityaram Nagar, Panaiyur,Chennai",26000000.0,3500,7430.0,5,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Gotha Medu Housing Board, Saidapet,Chennai",24400000.0,1881,12970.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",12500000.0,2232,5600.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",14000000.0,2117,6610.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chembarambakkam, Chennai",9460000.0,1426,6630.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",6000000.0,1121,5350.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",6700000.0,1261,5310.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sholinganallur, Chennai",13200000.0,1689,7820.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padappai, Chennai",4500000.0,886,5080.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Pallikaranai, Chennai",4500000.0,620,7260.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Poonamallee, Chennai",6000000.0,1093,5490.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",7000000.0,1047,6680.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Arasankazhani, Perumbakkam,Chennai",8500000.0,1559,5450.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Manikandan Nagar, Thiruneermalai,Chennai",5000000.0,853,5860.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ekkatuthangal, Chennai",29000000.0,1200,24170.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",16500000.0,2150,7670.0,4,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chettipunyam, Chennai",2900000.0,604,4800.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chettipunyam, Chennai",3800000.0,836,4540.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Bharathi Nagar, Gerugambakkam,Chennai",7200000.0,1009,7130.0,3,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Periya Palayatamman Nagar, Manapakkam,Chennai",4700000.0,425,11060.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kundrathur, Chennai",4500000.0,711,6330.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Oragadam Ambattur, Chennai",12500000.0,1545,8090.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"New Central Jail, Puzhal,Chennai",8841000.0,1551,5700.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Korattur Tank, Korattur,Chennai",7200000.0,961,7490.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Karapakkam, Chennai",7200000.0,1037,6940.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",15000000.0,2200,6820.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Buddhar Colony, Porur,Chennai",5500000.0,1080,5090.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"MGR Nagar, Mangadu,Chennai",6300000.0,970,6490.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Panneer Nagar, Mogappair,Chennai",4200000.0,620,6770.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Pasumpon Nagar, Anakaputhur,Chennai",5500000.0,940,5850.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Oragadam Sriperambattur, Chennai",9900000.0,1497,6610.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Senganmal, Chennai",4200000.0,986,4260.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",2050000.0,353,5810.0,1,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sai Enclave ,Kumananchavadi, Chennai",3800000.0,710,5350.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"ramus redidency,KK Nagar, Chennai",11700000.0,980,11940.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Nedunkundram, Chennai",6000000.0,650,9230.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Govinda Swamy Nagar, Perungudi,Chennai",7575000.0,1080,7010.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Housing ,TNHB Colony, Villivakkam,Chennai",7500000.0,1400,5360.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Periyar Nagar, Chromepet,Chennai",3800000.0,700,5430.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kalyanapuram, Ambattur,Chennai",5500000.0,840,6550.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai",38000000.0,1987,19120.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
