Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"Ammapettai, Chennai",4000000.0,1600,2500.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Esther Paradise,Nallur, Chennai",30000000.0,5000,6000.0,5,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Pandur, Kumuzhi R.F.,Chennai",3300000.0,680,4850.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"TMP Nagar, Padi,Chennai",35000000.0,2850,12280.0,4,Yes,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sri harinee builders,Arjunamedu, Thiruverkkadu,Chennai",4400000.0,1100,4000.0,3,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chettipunyam, Chennai",4000000.0,1150,3480.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mambakkam-Chengalpattu , Chennai",3700000.0,800,4630.0,4,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Guru Swamy Nagar, Anakaputhur,Chennai",3500000.0,727,4810.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Nolambur, Ambattur Industrial Estate,Chennai",5500000.0,902,6100.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Maraimalai Nagar, Chennai",2700000.0,940,2870.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kovur, Chennai",17500000.0,3200,5470.0,4,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thiruvellavoyal, Chennai",6000000.0,900,6670.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sri Durga Vijiya Apartment Arumbakkam,Jagannatha Nagar, Arumbakkam,Chennai",7500000.0,1079,6950.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahindra Lifespaces Happinest,Paranur, Chennai",30000000.0,533,56280.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Alagasanagar, Chennai",10500000.0,2000,5250.0,1,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ambedkar Nagar, Thirumullaivoyal,Chennai",4200000.0,922,4550.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Nova Life Space,Mogappair West, Ambattur Industrial Estate,Chennai",8400000.0,1052,7980.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahakavi Bharathiyar Nagar, Vyasarpadi,Chennai",9500000.0,860,11050.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Melody,Mannivakkam, Chennai",4000000.0,2080,1920.0,4,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Andal Nagar, Adambakkam,Chennai",33900000.0,3000,11300.0,6,Yes,6.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thandurai, Nemilicheri,Chennai",12000000.0,1500,8000.0,3,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sivanandam Colony, Korattur,Chennai",4284000.0,476,9000.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Korattur, Chennai",4000000.0,660,6060.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Balakumaran Nagar, Kolathur,Chennai",8200000.0,1380,5940.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sai Sadan Aynambakkam,Kil Ayanambakkam, Chennai",5500000.0,908,6060.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kadambathur ,Kadambathur, Chennai",1950000.0,650,3000.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kadambathur railway station ,Kadambathur, Chennai",1950000.0,650,3000.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Subhash Nagar, Chromepet,Chennai",3900000.0,400,9750.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Samiyar Garden, Vyasarpadi,Chennai",2600000.0,500,5200.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"casagrand arena ,Gandhi Nagar, Oragadam Ambattur,Chennai",8000000.0,1350,5920.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Korattur Tank, Korattur,Chennai",7000000.0,865,8090.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chetpet, Chennai",9000000.0,1500,6000.0,3,Yes,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
